date,daily_excess_return,cumulative_excess_return
2022-01-04,0.004574596881866455,0.004574596881866455
2022-01-05,-0.0028149591310870654,0.0017467604475156495
2022-01-06,0.0024633437363696564,0.004214407055292746
2022-01-07,-0.004299358120455995,-0.00010307031035938774
2022-01-10,-0.0024654053806166913,-0.002568221580878327
2022-01-11,-0.0043471194229312265,-0.006904176637892889
2022-01-12,0.008278094799737734,0.0013167647331220333
2022-01-13,-0.0011164260687835732,0.00019886859386386568
2022-01-14,0.004156469019842782,0.004356164204855961
2022-01-17,0.0005214742343435202,0.00487991006659283
2022-01-18,0.0044648767817590555,0.009366575045505199
2022-01-19,-0.00395399228735029,0.005375547392666213
2022-01-20,-0.007015445600355405,-0.001677610067994606
2022-01-21,-0.0007678645796966784,-0.002444186470341503
2022-01-24,0.005436378584151826,0.0029789045908272804
2022-01-25,-0.0025083775037062052,0.00046305486985964706
2022-01-26,0.0005960786364557157,0.0010594095234306433
2022-01-27,-0.002553506662143663,-0.0014968023479891013
2022-01-28,-0.00166270386489755,-0.0031570174738376755
2022-02-07,0.005202750790379083,0.002029308141384245
2022-02-08,0.0022605639466852204,0.004294459468890732
2022-02-09,0.00450791829602276,0.0088217368373249
2022-02-10,-0.007606322173084557,0.001148313691729408
2022-02-11,-0.00698615376226057,-0.005845862366548826
2022-02-14,-0.001074641072826222,-0.00691422123556984
2022-02-15,0.015816917207555955,0.00879333430714846
2022-02-16,-0.001171218851799932,0.007611816536437832
2022-02-17,-0.0014020697928946529,0.006199074445508268
2022-02-18,0.0007108049586330291,0.006914285736996151
2022-02-21,0.0028681374314309463,0.009802254290161017
2022-02-22,-0.002828114241366554,0.006946418153839007
2022-02-23,0.00449254015520653,0.011470165371536556
2022-02-24,-0.0029625120350598153,0.008473672833519519
2022-02-25,-0.00030539645546424123,0.008165688548407157
2022-02-28,-0.002073806440211108,0.006074948050695639
2022-03-01,-0.0005352157524278075,0.00553648089037595
2022-03-02,-0.00027425258716955625,0.005260709908998518
2022-03-03,-0.0050908217885840025,0.00014310678378626207
2022-03-04,-0.00026012603782541355,-0.0001170564798398388
2022-03-07,-0.001791833732783989,-0.001908680466874646
2022-03-08,-0.007965379163504838,-0.009858856266758864
2022-03-09,-0.0008410334436318252,-0.010691598082554377
2022-03-10,0.004123678548679508,-0.006612008247538936
2022-03-11,0.00625953960128694,-0.0003938567737213905
2022-03-14,-0.00033376638059176946,-0.0007274916981633295
2022-03-15,-0.007396644416599808,-0.008118755117355825
2022-03-16,-0.0007443900540684554,-0.008857101650863508
2022-03-17,0.0005892021599191596,-0.008273118114367595
2022-03-18,0.000813391944275615,-0.007466455457720178
2022-03-21,-0.0013951493041147592,-0.008851187941698924
2022-03-22,0.0006972144841289798,-0.008160144634004607
2022-03-23,0.0035224648934310656,-0.004666423563572053
2022-03-24,-0.008667862172798559,-0.013293837820081644
2022-03-25,0.00206265458831335,-0.011258603827344227
2022-03-28,0.0010525928065517702,-0.010217861746192991
2022-03-29,-0.006975604790622344,-0.017122190771468593
2022-03-30,0.008253613248163177,-0.009009897463894356
2022-03-31,-0.0029007216203423445,-0.011884483879866181
2022-04-01,0.0038964366942996565,-0.008034354324648718
2022-04-06,-0.005834531629930631,-0.013822009260146095
2022-04-07,-0.0001736642847657841,-0.013993273155559649
2022-04-08,0.0011173581999933064,-0.012891550454071532
2022-04-11,-0.01541014352574224,-0.028103033337047112
2022-04-12,0.012524197744543676,-0.015930803539238148
2022-04-13,0.0011732393853612897,-0.014776254800029642
2022-04-14,0.0024196757719068653,-0.01239233277386198
2022-04-15,-0.00292329620596447,-0.015279402520445573
2022-04-18,0.01463646414800403,-0.0008665747996349227
2022-04-19,0.001953413428874598,0.00108514585038888
2022-04-20,-0.0010582575985426084,2.5739888004583378e-05
2022-04-21,-0.011480271398821969,-0.011454827011717517
2022-04-22,-0.005584396544019137,-0.016975255259360056
2022-04-25,-0.010162504048797481,-0.026965248207854953
2022-04-26,-0.009724494743108958,-0.036427519536520014
2022-04-27,0.0232079486010939,-0.014064978936495054
2022-04-28,0.001906338185109902,-0.012185453357804632
2022-04-29,0.020880924318973395,0.008441027431812076
2022-05-05,0.010055785233949054,0.018581693824769374
2022-05-06,0.002033296504810574,0.020652772422687482
2022-05-09,0.005411083638134246,0.026175609939760314
2022-05-10,-0.003398389022129775,0.02268826601216367
2022-05-11,0.0018771882580489896,0.024608044416766228
2022-05-12,0.0016304131767276588,0.0262785788733646
2022-05-13,0.006354985447783512,0.03280056430747691
2022-05-16,0.004700790504774437,0.0376555433934993
2022-05-17,-0.0013672670935109574,0.036236791114618194
2022-05-18,-0.001327010145254331,0.03486169437992315
2022-05-19,0.00413981197899302,0.03914582721891824
2022-05-20,0.004052748644897316,0.04335722406203035
2022-05-23,0.007041352312731057,0.050703869864684226
2022-05-24,6.293224157324855e-05,0.050769993014444514
2022-05-25,0.003908364583263882,0.05487678524029849
2022-05-26,0.0009375587091217066,0.05586579415735082
2022-05-27,0.001060933034145292,0.05698599705799645
2022-05-30,0.0024256808226662025,0.05954990772088675
2022-05-31,-0.0010828333898786442,0.05840259170256368
2022-06-01,-0.0034583392256568235,0.054742276503141785
2022-06-02,0.0005875613317948246,0.05536200227982424
2022-06-06,-0.006305186895286565,0.04870774761326602
