date,daily_excess_return,cumulative_excess_return
2022-01-04,0.0006712675094604492,0.0006712675094604492
2022-01-05,0.01326117436972648,0.013932441879186928
2022-01-06,-0.002142312779056086,0.011790129100130843
2022-01-07,0.004606017741398124,0.016396146841528965
2022-01-10,0.007774475706992291,0.024170622548521255
2022-01-11,0.0029672808115680203,0.027137903360089276
2022-01-12,-0.002104000072573608,0.025033903287515667
2022-01-13,0.007156620428280663,0.03219052371579633
2022-01-14,-0.01054334885469775,0.02164717486109858
2022-01-17,0.0020726249552194195,0.023719799816318
2022-01-18,-0.00024149949287964758,0.023478300323438353
2022-01-19,0.005682067612321745,0.029160367935760097
2022-01-20,0.003318122628828056,0.03247849056458815
2022-01-21,0.0036082684124888764,0.03608675897707703
2022-01-24,-0.0050699655972121765,0.03101679337986485
2022-01-25,0.00021442060878940425,0.031231213988654253
2022-01-26,-0.0021707233883686496,0.029060490600285604
2022-01-27,0.0013664379383693957,0.030426928538654998
2022-01-28,0.005948504340256143,0.03637543287891114
2022-02-07,0.008796525932053064,0.045171958810964204
2022-02-08,0.008228642407169202,0.053400601218133406
2022-02-09,-0.007682570382414779,0.045718030835718626
2022-02-10,0.005445667757484963,0.05116369859320359
2022-02-11,0.005748924350444617,0.05691262294364821
2022-02-14,0.0017666591070095098,0.05867928205065772
2022-02-15,-0.007982474317618346,0.050696807733039376
2022-02-16,0.003177924689857764,0.05387473242289714
2022-02-17,-0.005374481971400413,0.04850025045149673
2022-02-18,-0.002229322952838239,0.04627092749865849
2022-02-21,0.00484909642409801,0.051120023922756504
2022-02-22,-0.0014218962389472994,0.049698127683809205
2022-02-23,-0.006295648241933499,0.0434024794418757
2022-02-24,-0.004878699504998664,0.03852377993687704
2022-02-25,-0.0031481956985778413,0.0353755842382992
2022-02-28,-0.008246201094167389,0.02712938314413181
2022-03-01,0.0033791417619088854,0.030508524906040696
2022-03-02,0.00517143281314264,0.035679957719183336
2022-03-03,0.009414700494687796,0.04509465821387113
